date,rank,username,viewer_count
2021-01-05,65,WorldofWarships,2444
2021-01-05,66,Sequisha,2443
2021-01-05,67,Limealicious,2429
2021-01-05,68,syn4ack,2404
2021-01-05,69,Sliggytv,2392
2021-01-05,70,AdrianaChechik_,2330
2021-01-05,71,monkeys_forever,2317
2021-01-05,72,NickEh30,2280
2021-01-05,73,IKeepItTaco,2264
2021-01-05,74,w0n23,2255
2021-01-05,75,blau,2246
2021-01-05,76,HarryHesketh,2217
2021-01-05,77,SmiteGame,2195
2021-01-05,78,Scarra,2191
2021-01-05,79,Granny,2094
2021-01-05,80,Zemie,2159
2021-01-05,81,StaysafeTV,2151
2021-01-05,82,Jay3,2095
2021-01-05,83,SlotsMarko,2019
2021-01-05,84,CodeMiko,2012
2021-01-05,85,akaNemsko,1850
2021-01-05,86,Sommerset,2031
2021-01-05,87,Rustage_,1918
2021-01-05,88,MurderCrumpet,1847
2021-01-05,89,hpduketv,1855
2021-01-05,90,KarasMai,2026
2021-01-05,91,humzh,1768
2021-01-05,92,MeatiHS,1770
2021-01-05,93,Prestivent,1763
2021-01-05,94,Chica,1744
2021-01-05,95,DooleyNotedGaming,1763
2021-01-05,96,Linkus7,1770
2021-01-05,98,Dratnos,1631
2021-01-05,99,GEEGA,1631
2021-01-05,100,Avast,1412
2021-01-06,1,xQc,57755
2021-01-06,2,tarik,56627
2021-01-06,3,HasanAbi,30563
2021-01-06,4,NICKMERCS,29049
2021-01-06,5,TSM_ImperialHal,25786
2021-01-06,6,Philza,22066
2021-01-06,7,NiceWigg,20851
2021-01-06,8,zackrawrr,20140
2021-01-06,9,Emiru,19788
2021-01-06,10,VALORANT_Americas,19729
2021-01-06,11,playapex,18787
2021-01-06,12,Jynxzi,13810
2021-01-06,13,PENTA,13310
2021-01-06,14,MOONMOON,13308
2021-01-06,15,CDawgVA,12017
2021-01-06,16,Clix,11873
2021-01-06,17,summit1g,11875
2021-01-06,18,shroud,11280
2021-01-06,19,Foolish_Gamers,11819
2021-01-06,20,Flight23white,9402
2021-01-06,21,LVNDMARK,9139
2021-01-06,22,Grubby,7028
2021-01-06,23,Shotzzy,7023
2021-01-06,24,Agent00,5959
2021-01-06,25,Tectone,5725
2021-01-06,26,AMOURANTH,5716
2021-01-06,27,watchmeblink,5377
2021-01-06,28,koil,5152
2021-01-06,29,The_Happy_Hob,5214
2021-01-06,30,BrawlStars,5106
2021-01-06,31,Dkayed,4911
2021-01-06,32,GothamChess,4621
2021-01-06,33,vedal987,4535
2021-01-06,34,TeamfightTactics,4596
2021-01-06,35,fl0m,4114
2021-01-06,36,A_Seagull,4187
2021-01-06,37,erobb221,4420
2021-01-06,38,Cohh,4003
2021-01-06,39,alpharad,4024
2021-01-06,40,Mathil1,3862
2021-01-06,41,HisWattson,3848
2021-01-06,42,LVTHalo,3884
2021-01-06,43,HusKerrs,3832
2021-01-06,44,reneesrealm,3636
2021-01-06,45,Ray,3547
2021-01-06,46,zwebackhd,3531
2021-01-06,47,iateyourpie,3457
2021-01-06,48,RaiseYourEdge,3442
2021-01-06,49,AmazonMusic,3426
2021-01-06,50,Pieface23,2979
2021-01-06,51,setsukotft,3269
2021-01-06,52,Bawkbasoup,3178
2021-01-06,53,solarbacca,2992
2021-01-06,54,RealzBlueWater,2888
2021-01-06,55,CoconutB,2905
2021-01-06,56,itsBenAndKaren,2924
2021-01-06,58,RetalsRL,2693
2021-01-06,59,KYR_SP33DY,2710
2021-01-06,60,Beaulo,2608
2021-01-06,61,Atrioc,2596
2021-01-06,62,BadBoyHalo,3189
2021-01-06,63,Lacari,2518
2021-01-06,64,buckefps,2505
2021-01-06,65,WorldofWarships,2444
2021-01-06,66,Sequisha,2443
2021-01-06,67,Limealicious,2429
2021-01-06,68,syn4ack,2404
2021-01-06,69,Sliggytv,2392
2021-01-06,70,AdrianaChechik_,2330
2021-01-06,71,monkeys_forever,2380
2021-01-06,72,NickEh30,2280
2021-01-06,73,IKeepItTaco,2264
2021-01-06,74,w0n23,2370
2021-01-06,75,blau,2246
2021-01-06,76,HarryHesketh,2217
2021-01-06,77,SmiteGame,2195
2021-01-06,78,Scarra,2191
2021-01-06,79,Granny,2094
2021-01-06,80,Zemie,2159
2021-01-06,81,StaysafeTV,2151
2021-01-06,82,Jay3,2095
2021-01-06,83,SlotsMarko,2019
2021-01-06,84,CodeMiko,2012
2021-01-06,85,akaNemsko,1850
2021-01-06,86,Sommerset,2031
2021-01-06,87,Rustage_,1918
2021-01-06,88,MurderCrumpet,1847
2021-01-06,89,hpduketv,1855
2021-01-06,90,KarasMai,2026
2021-01-06,91,humzh,1768
2021-01-06,92,MeatiHS,1770
2021-01-06,93,Prestivent,1763
2021-01-06,94,Chica,1744
2021-01-06,95,DooleyNotedGaming,1763
2021-01-06,96,Linkus7,1770
2021-01-06,98,Dratnos,1631
2021-01-06,99,GEEGA,1631
2021-01-06,100,Avast,1412
2021-01-07,1,xQc,57755
2021-01-07,2,tarik,56627
2021-01-07,3,HasanAbi,30563
2021-01-07,4,NICKMERCS,29049
2021-01-07,5,TSM_ImperialHal,25786
2021-01-07,6,Philza,22066
2021-01-07,7,NiceWigg,20851
2021-01-07,8,zackrawrr,20140
2021-01-07,9,Emiru,19788
2021-01-07,10,VALORANT_Americas,19729
2021-01-07,11,playapex,18787
2021-01-07,12,Jynxzi,13810
2021-01-07,13,PENTA,13310
2021-01-07,14,MOONMOON,13308
2021-01-07,15,CDawgVA,12017
2021-01-07,16,Clix,11873
2021-01-07,17,summit1g,11875
2021-01-07,18,shroud,11280
2021-01-07,19,Foolish_Gamers,11819
2021-01-07,20,Flight23white,9402
2021-01-07,21,LVNDMARK,9139
2021-01-07,22,Grubby,7028
2021-01-07,23,Shotzzy,7023
2021-01-07,24,Agent00,5959
2021-01-07,25,Tectone,5725
2021-01-07,26,AMOURANTH,5716
2021-01-07,27,watchmeblink,5377
2021-01-07,28,koil,5152
2021-01-07,29,The_Happy_Hob,5214
2021-01-07,30,BrawlStars,5106
2021-01-07,31,Dkayed,4911
2021-01-07,32,GothamChess,4621
2021-01-07,33,vedal987,4535
2021-01-07,34,TeamfightTactics,4596
2021-01-07,35,fl0m,4114
2021-01-07,36,A_Seagull,4187
2021-01-07,37,erobb221,4420
2021-01-07,38,Cohh,4003
2021-01-07,39,alpharad,4024
2021-01-07,40,Mathil1,3862
2021-01-07,41,HisWattson,3848
2021-01-07,42,LVTHalo,3884
2021-01-07,43,HusKerrs,3832
2021-01-07,44,reneesrealm,3636
2021-01-07,45,Ray,3547
2021-01-07,46,zwebackhd,3531
2021-01-07,47,iateyourpie,3457
2021-01-07,48,RaiseYourEdge,3442
2021-01-07,49,AmazonMusic,3426
2021-01-07,50,Pieface23,2979
2021-01-07,51,setsukotft,3269
2021-01-07,52,Bawkbasoup,3178
2021-01-07,53,solarbacca,2992
2021-01-07,54,RealzBlueWater,2888
2021-01-07,55,CoconutB,2905
2021-01-07,56,itsBenAndKaren,2924
2021-01-07,58,RetalsRL,2693
2021-01-07,59,KYR_SP33DY,2710
2021-01-07,60,Beaulo,2608
2021-01-07,61,Atrioc,2596
2021-01-07,62,BadBoyHalo,3189
2021-01-07,63,Lacari,2518
2021-01-07,64,buckefps,2505
2021-01-07,65,WorldofWarships,2444
2021-01-07,66,Sequisha,2443
2021-01-07,67,Limealicious,2429
2021-01-07,68,syn4ack,2404
2021-01-07,69,Sliggytv,2392
2021-01-07,70,AdrianaChechik_,2330
2021-01-07,71,monkeys_forever,2380
2021-01-07,72,NickEh30,2280
2021-01-07,73,IKeepItTaco,2264
2021-01-07,74,w0n23,2370
2021-01-07,75,blau,2246
2021-01-07,76,HarryHesketh,2217
2021-01-07,77,SmiteGame,2195
2021-01-07,78,Scarra,2191
2021-01-07,79,Granny,2094
2021-01-07,80,Zemie,2159
2021-01-07,81,StaysafeTV,2151
2021-01-07,82,Jay3,2095
2021-01-07,83,SlotsMarko,2019
2021-01-07,84,CodeMiko,2012
2021-01-07,85,akaNemsko,1850
2021-01-07,86,Sommerset,2031
2021-01-07,87,Rustage_,1918
2021-01-07,88,MurderCrumpet,1847
2021-01-07,89,hpduketv,1855
2021-01-07,90,KarasMai,2026
2021-01-07,91,humzh,1768
2021-01-07,92,MeatiHS,1770
2021-01-07,93,Prestivent,1763
2021-01-07,94,Chica,1744
2021-01-07,95,DooleyNotedGaming,1763
2021-01-07,96,Linkus7,1770
2021-01-07,98,Dratnos,1631
2021-01-07,99,GEEGA,1631
2021-01-07,100,Avast,1412
2021-01-08,1,xQc,57755
2021-01-08,2,tarik,56627
2021-01-08,3,HasanAbi,30563
2021-01-08,4,NICKMERCS,29049
2021-01-08,5,TSM_ImperialHal,25786
2021-01-08,6,Philza,22066
2021-01-08,7,NiceWigg,20851
2021-01-08,8,zackrawrr,20140
2021-01-08,9,Emiru,19788
2021-01-08,10,VALORANT_Americas,19729
2021-01-08,11,playapex,18787
2021-01-08,12,Jynxzi,13810
2021-01-08,13,PENTA,13310
2021-01-08,14,MOONMOON,13308
2021-01-08,15,CDawgVA,12017
2021-01-08,16,Clix,11873
2021-01-08,17,summit1g,11875
2021-01-08,18,shroud,11280
2021-01-08,19,Foolish_Gamers,11819
2021-01-08,20,Flight23white,9402
2021-01-08,21,LVNDMARK,9139
2021-01-08,22,Grubby,7028
2021-01-08,23,Shotzzy,7023
2021-01-08,24,Agent00,5959
2021-01-08,25,Tectone,5725
2021-01-08,26,AMOURANTH,5716
2021-01-08,27,watchmeblink,5377
2021-01-08,28,koil,5152
2021-01-08,29,The_Happy_Hob,5214
2021-01-08,30,BrawlStars,5106
2021-01-08,31,Dkayed,4911
2021-01-08,32,GothamChess,4621
2021-01-08,33,vedal987,4535
2021-01-08,34,TeamfightTactics,4596
2021-01-08,35,fl0m,4114
2021-01-08,36,A_Seagull,4187
2021-01-08,37,erobb221,4420
2021-01-08,38,Cohh,4003
2021-01-08,39,alpharad,4024
2021-01-08,40,Mathil1,3862
2021-01-08,41,HisWattson,3848
2021-01-08,42,LVTHalo,3884
2021-01-08,43,HusKerrs,3832
2021-01-08,44,reneesrealm,3636
2021-01-08,45,Ray,3547
2021-01-08,46,zwebackhd,3531
2021-01-08,47,iateyourpie,3457
2021-01-08,48,RaiseYourEdge,3442
2021-01-08,49,AmazonMusic,3426
2021-01-08,50,Pieface23,2979
2021-01-08,51,setsukotft,3269
2021-01-08,52,Bawkbasoup,3178
2021-01-08,53,solarbacca,2992
2021-01-08,54,RealzBlueWater,2888
2021-01-08,55,CoconutB,2905
2021-01-08,56,itsBenAndKaren,2924
2021-01-08,58,RetalsRL,2693
2021-01-08,59,KYR_SP33DY,2710
2021-01-08,60,Beaulo,2608
2021-01-08,61,Atrioc,2596
2021-01-08,62,BadBoyHalo,3189
2021-01-08,63,Lacari,2518
